Bulwar Zachodzącego Słońca;Sunset Blvd.;1950;Billy Wilder;Dramat,Film-Noir;USA;Gloria Swanson,Joe Gillis
Filadelfijska opowieść;The Philadelphia Story;1940;George Cukor;Komedia romantyczna;USA;Cary Grant,Katharine Hepburn,James Stewart
Osławiona;Notorious;1946;Alfred Hitchcock;Film-Noir,Romans;USA;Cary Grant,Ingrid Bergman
Urzeczona;Spellbound;1945;Alfred Hitchcock;Film-Noir;USA;Gregory Peck,Ingrid Bergman
Zabić Drozda;To Kill a Mockingbird;1962;Robert Mulligan;Obyczajowy,Prawniczy,Dramat sądowy;USA;Gragory Peck
Sznur;Rope;1948;Alfred Hitchcock;Kryminał,Thriller;USA;James Stewart
Okno na podwórze;Rear Window;1954;Alfred Hitchcock;Psychologiczny,Dreszczowiec;USA;James Stewart,Grace Kelly
Człowiek, który wiedział za dużo;The Man Who Knew Too Much;1956;Alfred Hitchcock;Thriller,Szpiegowski;USA;James Stewart,Doris Day
Zabójstwo;The Killing;1956;Stanley Kubrick;Kryminał,Film-Noir;USA;Sterling Hayden,Coleen Gray
Zawrót głowy;Vertigo;1958;Alfred Hitchcock;Melodramat,Thriller,Psychologiczny;USA;James Stewart,Kim Novak
Gilda;Gilda;1946;Charles Vidor;Dramat,Thriller,Film-Noir;USA;Rita Hayworth,Glenn Ford
Dama z Szanghaju;The Lady from Shanghai;1947;Orson Welles;Film-Noir;USA;Orson Welles,Rita Hayworth
Casablanca;Casablanca;1942;Michael Curtiz;Kryminał,Melodramat;USA;Humphrey Bogart,Ingrid Bergman,
Obywatel Kane;Citizen Kane;1941;Orson Welles;Dramat;USA;Orson Welles,Joseph Cotten
Trzeci człowiek;The Third Man;1949;Carol Reed;Kryminał,Film-Noir;Wielka Brytania;Orson Welles,Joseph Cotten,Alida Valli
Dotyk zła;Touch of Evil;1958;Orson Welles;Film-Noir;USA;Orson Welles,Charlton Heston,Janet Leigh
Słodkie życie;La dolce vita;1960;Federico Fellini;Dramat obyczajowy;Francja,Włochy;Marcello Mastroianni,Anita Ekberg,Anouk Aimée
Buntownik bez powodu;Rebel Without a Cause;1955;Nicholas Ray;Dramat;USA;James Dean,Natalie Wood
Pół żartem, pół serio;Some Like It Hot;1959;Billy Wilder;Komedia;USA;Marilyn Monroe,Tony Curtis,Jack Lemmon
